name,sname,m,n,K_f,K_l,K_q,K_s,fp,fd,fL,fU,fU-fL,mu_fU_fL,ts,tL,tL/ts,tU,tU/ts
hinf9,sdpt3,13,51,0,0,0,1,-236.2493,-236.2493,-Inf,Inf,Inf,NaN,1.339,1.4098,1.0529,1.4103,1.0533
hinf9,sedumi,13,51,0,0,0,1,-236.2474,-236.2473,-236.2508,-236.2474,0.0033578,1.4213e-05,0.91798,0.98995,1.0784,0.043,0.046842
infd1,csdp,10,465,0,0,0,1,-4.5028,1,-Inf,Inf,Inf,NaN,0.10334,0.16876,1.6331,0.17668,1.7098
infd1,sdpa,10,465,0,0,0,1,-75.8305,1206987.0911,1206987.0911,Inf,Inf,NaN,0.24612,0.014543,0.05909,3.2946,13.3863
infd1,sdpt3,10,465,0,0,0,1,-4.2572,1,-Inf,Inf,Inf,NaN,0.42949,0.51046,1.1885,0.38005,0.8849
infd1,sedumi,10,465,0,0,0,1,0,1,-Inf,Inf,Inf,NaN,0.12689,0.21791,1.7173,0.23056,1.817
infd2,csdp,10,465,0,0,0,1,5.3603,1,-Inf,Inf,Inf,NaN,0.10213,0.16951,1.6597,0.1983,1.9415
infd2,sdpa,10,465,0,0,0,1,6.3048,2813783.6061,2813783.6061,Inf,Inf,NaN,0.24608,0.014548,0.05912,3.296,13.3943
infd2,sdpt3,10,465,0,0,0,1,5.26,1,-Inf,Inf,Inf,NaN,0.43009,0.50926,1.1841,0.41522,0.96542
infd2,sedumi,10,465,0,0,0,1,0,1,-Inf,Inf,Inf,NaN,0.12473,0.20062,1.6085,0.18431,1.4777
infp1,csdp,10,465,0,0,0,1,-1,-8.1667,-Inf,Inf,Inf,NaN,0.10309,0.16233,1.5746,0.17954,1.7416
infp1,sdpa,10,465,0,0,0,1,-83077185.3814,-7.7241,-Inf,-83077365.5127,Inf,NaN,0.24445,3.2074,13.121,0.025734,0.10527
infp1,sdpt3,10,465,0,0,0,1,-1,-9.565,-Inf,Inf,Inf,NaN,1.1504,1.1886,1.0332,1.2015,1.0445
infp1,sedumi,10,465,0,0,0,1,-1,-1.0123e-08,-Inf,Inf,Inf,NaN,0.14678,0.20714,1.4112,0.20492,1.396
infp2,csdp,10,465,0,0,0,1,-1,-6.6693,-Inf,Inf,Inf,NaN,0.11538,0.15988,1.3856,0.18815,1.6307
infp2,sdpa,10,465,0,0,0,1,-148750876.9304,-6.9912,-Inf,-148750506.8458,Inf,NaN,0.24394,3.2017,13.1249,0.027773,0.11385
infp2,sdpt3,10,465,0,0,0,1,-1,-7.5659,-Inf,Inf,Inf,NaN,1.1415,1.1852,1.0383,1.1989,1.0503
infp2,sedumi,10,465,0,0,0,1,-1,-1.0014e-08,-Inf,Inf,Inf,NaN,0.20544,0.18952,0.92251,0.19341,0.94147
maxG11,csdp,800,320400,0,0,0,1,-629.1648,-629.1648,-629.1648,-629.1648,2.9397e-06,4.6724e-09,34.0632,36.0659,1.0588,0.91857,0.026966
maxG11,sdpa,800,320400,0,0,0,1,-629.1648,-629.1566,-629.3995,-627.7964,1.6031,0.0025502,154.6936,154.8707,1.0011,156.8496,1.0139
maxG11,sdpt3,800,320400,0,0,0,1,-629.1648,-629.1648,-629.1648,-629.1648,6.0229e-06,9.5728e-09,5.6938,1.0526,0.18488,0.91998,0.16158
maxG11,sedumi,800,320400,0,0,0,1,-629.1648,-629.1648,-629.1648,-629.1648,4.0865e-05,6.4951e-08,48.2354,50.4153,1.0452,0.92674,0.019213
maxG32,csdp,2000,2001000,0,0,0,1,-1567.6396,-1567.6396,-1567.6397,-1567.6396,4.851e-05,3.0945e-08,396.6489,425.793,1.0735,12.9576,0.032668
maxG32,sdpa,2000,2001000,0,0,0,1,-1567.6383,-1567.6485,-1567.8648,-1562.2246,5.6402,0.0036039,1304.141,1318.4155,1.0109,1331.2016,1.0207
maxG32,sdpt3,2000,2001000,0,0,0,1,-1567.6396,-1567.6396,-1567.6396,-1567.6396,1.0517e-05,6.7087e-09,40.308,14.2501,0.35353,12.8412,0.31858
maxG32,sedumi,2000,2001000,0,0,0,1,-1567.6396,-1567.6396,-1567.6398,-1567.6396,0.00017721,1.1304e-07,859.143,892.9627,1.0394,13.0879,0.015234
maxG51,csdp,1000,500500,0,0,0,1,-4006.2555,-4006.2555,-4006.2556,-4006.2555,5.2391e-05,1.3077e-08,106.5202,109.4798,1.0278,1.901,0.017846
maxG51,sdpa,1000,500500,0,0,0,1,-4006.2543,-4006.261,-4007.334,-4003.748,3.586,0.00089527,253.2469,252.3051,0.99628,254.825,1.0062
maxG51,sdpt3,1000,500500,0,0,0,1,-4006.2555,-4006.2555,-4006.2555,-4006.2555,2.1288e-06,5.3138e-10,23.6819,1.8676,0.078863,1.8953,0.080032
maxG51,sedumi,1000,500500,0,0,0,1,-4006.2555,-4006.2555,-4006.2568,-4006.2555,0.0013226,3.3013e-07,124.1009,128.192,1.033,1.8816,0.015162
maxG55,csdp,5000,12502500,0,0,0,1,-12869.8665,-12869.8666,-12869.8668,-12869.8665,0.00033937,2.6369e-08,5674.6529,6130.244,1.0803,229.9736,0.040526
maxG55,sdpa,5000,12502500,0,0,0,1,-12869.8664,-12869.8845,-12871.7959,-12839.8395,31.9565,0.0024858,12461.8532,12830.5864,1.0296,12937.9762,1.0382
maxG55,sdpt3,5000,12502500,0,0,0,1,-12869.8666,-12869.8667,-12869.8667,-12869.8666,1.5212e-05,1.182e-09,910.053,223.0071,0.24505,252.3615,0.2773
maxG55,sedumi,5000,12502500,0,0,0,1,-12869.8666,-12869.8666,-12869.8674,-12869.8666,0.00082104,6.3796e-08,19991.6194,20434.8811,1.0222,205.6144,0.010285
maxG60,csdp,7000,24503500,0,0,0,1,-15222.268,-15222.268,-15222.2683,-15222.268,0.00027151,1.7836e-08,14643.7301,15846.733,1.0822,659.1117,0.04501
maxG60,sdpa,7000,24503500,0,0,0,1,-15222.2691,-15222.2735,-15224.9037,-15174.1487,50.755,0.0033392,29713.0649,30938.1384,1.0412,30977.514,1.0426
maxG60,sdpt3,7000,24503500,0,0,0,1,-15222.2678,-15222.268,-15222.268,-15222.2678,0.00021123,1.3877e-08,1847.9325,598.4056,0.32382,652.202,0.35294
maxG60,sedumi,7000,24503500,0,0,0,1,-15222.268,-15222.268,-15222.2703,-15222.2679,0.0023722,1.5584e-07,54046.2232,55384.1104,1.0248,547.8652,0.010137
mcp100,csdp,100,5050,0,0,0,1,-226.1573,-226.1574,-226.1574,-226.1573,9.4357e-06,4.1722e-08,0.44091,0.52079,1.1812,0.030617,0.069441
mcp100,sdpa,100,5050,0,0,0,1,-226.1573,-226.155,-226.192,-226.0827,0.10931,0.00048338,2.1413,2.2229,1.0381,2.2416,1.0468
mcp100,sdpt3,100,5050,0,0,0,1,-226.1574,-226.1574,-226.1574,-226.1574,8.9594e-07,3.9616e-09,6.673,0.38372,0.057503,0.035993,0.0053938
mcp100,sedumi,100,5050,0,0,0,1,-226.1574,-226.1574,-226.1574,-226.1574,7.0474e-06,3.1161e-08,1.2846,0.94823,0.73816,0.050383,0.039221
mcp124-1,csdp,124,7750,0,0,0,1,-141.9905,-141.9905,-141.9905,-141.9905,2.0985e-06,1.4779e-08,0.57576,0.65126,1.1311,0.033921,0.058915
mcp124-1,sdpa,124,7750,0,0,0,1,-141.9903,-141.9896,-142.0037,-141.9242,0.079475,0.00055982,3.2872,3.3556,1.0208,3.3857,1.03
mcp124-1,sdpt3,124,7750,0,0,0,1,-141.9905,-141.9905,-141.9905,-141.9905,2.1255e-06,1.497e-08,1.3687,0.11599,0.084744,0.21085,0.15405
mcp124-1,sedumi,124,7750,0,0,0,1,-141.9905,-141.9905,-141.9905,-141.9905,6.1539e-06,4.334e-08,1.2833,1.0586,0.82496,0.069091,0.05384
mcp124-2,csdp,124,7750,0,0,0,1,-269.8802,-269.8802,-269.8802,-269.8802,1.5873e-06,5.8815e-09,0.7374,0.77745,1.0543,0.034432,0.046694
mcp124-2,sdpa,124,7750,0,0,0,1,-269.8805,-269.8821,-269.9266,-269.7796,0.14697,0.00054463,3.261,3.363,1.0313,3.3897,1.0395
mcp124-2,sdpt3,124,7750,0,0,0,1,-269.8802,-269.8802,-269.8802,-269.8802,2.2177e-07,8.2174e-10,0.9271,0.024166,0.026066,0.035879,0.0387
mcp124-2,sedumi,124,7750,0,0,0,1,-269.8802,-269.8802,-269.8802,-269.8802,3.5479e-06,1.3146e-08,0.92731,0.97415,1.0505,0.076627,0.082634
mcp124-3,csdp,124,7750,0,0,0,1,-467.7501,-467.7501,-467.7501,-467.7501,7.37e-06,1.5756e-08,0.75453,0.80134,1.062,0.034364,0.045544
mcp124-3,sdpa,124,7750,0,0,0,1,-467.7502,-467.7492,-467.7855,-467.6194,0.16607,0.00035508,3.2711,3.3794,1.0331,3.3997,1.0393
mcp124-3,sdpt3,124,7750,0,0,0,1,-467.7501,-467.7501,-467.7501,-467.7501,4.6294e-06,9.8972e-09,0.90378,0.024182,0.026757,0.035868,0.039687
mcp124-3,sedumi,124,7750,0,0,0,1,-467.7501,-467.7501,-467.7501,-467.7501,5.506e-06,1.1771e-08,0.89074,0.9361,1.0509,0.035516,0.039872
mcp124-4,csdp,124,7750,0,0,0,1,-864.4119,-864.4119,-864.4119,-864.4119,7.9056e-06,9.1456e-09,0.76792,0.83915,1.0928,0.034511,0.044941
mcp124-4,sdpa,124,7750,0,0,0,1,-864.4117,-864.409,-864.446,-864.2173,0.22873,0.00026463,3.2827,3.3696,1.0265,3.4036,1.0368
mcp124-4,sdpt3,124,7750,0,0,0,1,-864.4119,-864.4119,-864.4119,-864.4119,6.945e-07,8.0343e-10,1.1838,0.024852,0.020994,0.035664,0.030127
mcp124-4,sedumi,124,7750,0,0,0,1,-864.4119,-864.4119,-864.4119,-864.4119,9.1024e-06,1.053e-08,0.97488,1.0192,1.0455,0.035039,0.035942
mcp250-1,csdp,250,31375,0,0,0,1,-317.2643,-317.2643,-317.2643,-317.2643,3.4512e-06,1.0878e-08,2.5063,2.602,1.0382,0.077139,0.030779
mcp250-1,sdpa,250,31375,0,0,0,1,-317.2644,-317.2692,-317.2739,-317.0236,0.25033,0.00078932,13.1926,13.4069,1.0162,13.4957,1.023
mcp250-1,sdpt3,250,31375,0,0,0,1,-317.2643,-317.2643,-317.2643,-317.2643,6.1495e-07,1.9383e-09,1.9334,0.057248,0.029611,0.2798,0.14472
mcp250-1,sedumi,250,31375,0,0,0,1,-317.2643,-317.2643,-317.2644,-317.2643,1.3586e-05,4.2821e-08,3.1784,3.3357,1.0495,0.072638,0.022854
mcp250-2,csdp,250,31375,0,0,0,1,-531.9301,-531.9301,-531.9301,-531.9301,7.2725e-06,1.3672e-08,2.7651,2.9026,1.0497,0.077089,0.02788
mcp250-2,sdpa,250,31375,0,0,0,1,-531.9297,-531.928,-532.084,-531.638,0.44607,0.0008387,13.2439,13.4777,1.0177,13.5569,1.0236
mcp250-2,sdpt3,250,31375,0,0,0,1,-531.9301,-531.9301,-531.9301,-531.9301,2.792e-06,5.2488e-09,1.9221,0.10248,0.053317,0.096946,0.050438
mcp250-2,sedumi,250,31375,0,0,0,1,-531.9301,-531.9301,-531.9301,-531.9301,1.8841e-05,3.5421e-08,3.2014,3.3814,1.0562,0.076029,0.023749
mcp250-3,csdp,250,31375,0,0,0,1,-981.1726,-981.1726,-981.1726,-981.1726,1.2763e-05,1.3008e-08,2.8578,3.0232,1.0579,0.076942,0.026923
mcp250-3,sdpa,250,31375,0,0,0,1,-981.1725,-981.177,-981.237,-980.7696,0.46744,0.00047649,13.267,13.5219,1.0192,13.5958,1.0248
mcp250-3,sdpt3,250,31375,0,0,0,1,-981.1726,-981.1726,-981.1726,-981.1726,6.4432e-06,6.5668e-09,3.9846,0.065989,0.016561,0.077226,0.019381
mcp250-3,sedumi,250,31375,0,0,0,1,-981.1726,-981.1726,-981.1726,-981.1726,1.9051e-05,1.9417e-08,3.1365,3.3035,1.0532,0.09172,0.029243
mcp250-4,csdp,250,31375,0,0,0,1,-1681.9601,-1681.9601,-1681.9602,-1681.9601,0.00010698,6.3605e-08,2.951,3.1015,1.051,0.077337,0.026207
mcp250-4,sdpa,250,31375,0,0,0,1,-1681.9592,-1681.955,-1682.23,-1681.3996,0.83039,0.00049374,13.3375,13.5371,1.015,13.6308,1.022
mcp250-4,sdpt3,250,31375,0,0,0,1,-1681.9601,-1681.9601,-1681.9601,-1681.9601,1.4644e-05,8.7066e-09,4.9937,0.065645,0.013146,0.090882,0.018199
mcp250-4,sedumi,250,31375,0,0,0,1,-1681.9601,-1681.9601,-1681.9601,-1681.9601,2.994e-05,1.7801e-08,3.5678,3.7673,1.0559,0.076722,0.021504
mcp500-1,csdp,500,125250,0,0,0,1,-598.1485,-598.1485,-598.1485,-598.1485,2.4186e-06,4.0435e-09,8.9195,9.4246,1.0566,0.31904,0.035769
mcp500-1,sdpa,500,125250,0,0,0,1,-598.1485,-598.1443,-598.4231,-597.4069,1.0161,0.0016995,54.75,55.4461,1.0127,55.6681,1.0168
mcp500-1,sdpt3,500,125250,0,0,0,1,-598.1485,-598.1485,-598.1485,-598.1485,6.6185e-07,1.1065e-09,4.2243,0.25188,0.059626,0.39065,0.092478
mcp500-1,sedumi,500,125250,0,0,0,1,-598.1485,-598.1485,-598.1485,-598.1485,3.2659e-05,5.4601e-08,18.8061,19.4353,1.0335,0.28633,0.015225
mcp500-2,csdp,500,125250,0,0,0,1,-1070.0568,-1070.0568,-1070.0568,-1070.0568,5.2884e-06,4.9421e-09,15.1829,15.8495,1.0439,0.34028,0.022412
mcp500-2,sdpa,500,125250,0,0,0,1,-1070.0565,-1070.0554,-1070.2538,-1069.1771,1.0767,0.0010065,55.561,56.5129,1.0171,56.7513,1.0214
mcp500-2,sdpt3,500,125250,0,0,0,1,-1070.0568,-1070.0568,-1070.0568,-1070.0568,2.6188e-06,2.4474e-09,7.1325,0.30342,0.04254,0.42918,0.060173
mcp500-2,sedumi,500,125250,0,0,0,1,-1070.0568,-1070.0568,-1070.0568,-1070.0568,4.5142e-05,4.2186e-08,18.3521,19.1949,1.0459,0.31072,0.016931
mcp500-3,csdp,500,125250,0,0,0,1,-1847.97,-1847.97,-1847.97,-1847.97,1.6322e-05,8.8327e-09,15.1137,15.7656,1.0431,0.31795,0.021037
mcp500-3,sdpa,500,125250,0,0,0,1,-1847.9706,-1847.9742,-1848.1356,-1846.8232,1.3124,0.00071036,55.6953,56.5196,1.0148,56.6046,1.0163
mcp500-3,sdpt3,500,125250,0,0,0,1,-1847.97,-1847.97,-1847.97,-1847.97,1.3033e-06,7.0525e-10,8.3541,0.30827,0.0369,0.31716,0.037964
mcp500-3,sedumi,500,125250,0,0,0,1,-1847.97,-1847.97,-1847.9701,-1847.97,4.4461e-05,2.4059e-08,18.7023,19.4527,1.0401,0.31282,0.016726
mcp500-4,csdp,500,125250,0,0,0,1,-3566.738,-3566.738,-3566.7381,-3566.738,7.7711e-05,2.1788e-08,15.4731,16.1659,1.0448,0.31812,0.02056
mcp500-4,sdpa,500,125250,0,0,0,1,-3566.7379,-3566.736,-3567.289,-3565.0345,2.2545,0.00063218,55.6016,56.4996,1.0161,56.6955,1.0197
mcp500-4,sdpt3,500,125250,0,0,0,1,-3566.738,-3566.7381,-3566.7381,-3566.738,5.8063e-05,1.6279e-08,8.0762,0.31228,0.038667,0.315,0.039004
mcp500-4,sedumi,500,125250,0,0,0,1,-3566.738,-3566.738,-3566.7381,-3566.738,6.0067e-05,1.6841e-08,19.0161,19.7786,1.0401,0.31495,0.016562
qap10,csdp,1021,5151,0,0,0,1,1092.5947,1092.6011,1092.6023,Inf,Inf,NaN,4.225,4.3752,1.0356,12.9724,3.0704
qap10,sdpa,1021,5151,0,0,0,1,1092.6086,257,-15742.5,Inf,Inf,NaN,5.5362,5.204,0.93998,37.7453,6.8179
qap10,sdpt3,1021,5151,0,0,0,1,1092.5398,1092.5739,1092.5739,Inf,Inf,NaN,3.1142,0.019821,0.0063648,2.7702,0.88956
qap10,sedumi,1021,5151,0,0,0,1,1092.5854,1092.5856,1092.5856,Inf,Inf,NaN,8.4116,0.019596,0.0023296,7.8806,0.93687
qap5,csdp,136,351,0,0,0,1,436,436,436,Inf,Inf,NaN,0.12599,0.33173,2.6329,0.83258,6.6082
qap5,sdpa,136,351,0,0,0,1,435.9974,388,321.4,Inf,Inf,NaN,0.26726,0.30054,1.1245,3.3271,12.4488
qap5,sdpt3,136,351,0,0,0,1,436,436,436,Inf,Inf,NaN,1.6919,0.016955,0.010021,9.4233,5.5698
qap5,sedumi,136,351,0,0,0,1,436,436,436,Inf,Inf,NaN,0.4673,0.015389,0.032932,1.7785,3.806
qap6,csdp,229,703,0,0,0,1,381.431,381.4347,381.4332,Inf,Inf,NaN,0.28432,0.31183,1.0967,1.2326,4.3354
qap6,sdpa,229,703,0,0,0,1,381.4507,513.5,-2947,Inf,Inf,NaN,0.46581,0.53888,1.1569,5.5952,12.0117
qap6,sdpt3,229,703,0,0,0,1,381.3934,381.4162,381.4161,Inf,Inf,NaN,5.3317,4.4023,0.82569,6.4975,1.2187
qap6,sedumi,229,703,0,0,0,1,381.4263,381.4266,381.4266,Inf,Inf,NaN,1.3415,0.015711,0.011712,2.56,1.9083
qap7,csdp,358,1275,0,0,0,1,424.8083,424.814,424.8152,Inf,Inf,NaN,0.53019,0.56149,1.059,0.89377,1.6857
qap7,sdpa,358,1275,0,0,0,1,424.8809,91.52,-956,Inf,Inf,NaN,0.85528,0.9485,1.109,9.2077,10.7657
qap7,sdpt3,358,1275,0,0,0,1,424.7882,424.8042,424.8042,Inf,Inf,NaN,6.0147,0.016338,0.0027163,15.0932,2.5094
qap7,sedumi,358,1275,0,0,0,1,424.8088,424.8119,424.8119,Inf,Inf,NaN,2.3318,0.016219,0.0069556,2.5257,1.0832
qap8,csdp,529,2145,0,0,0,1,756.9055,756.9304,756.9386,Inf,Inf,NaN,1.047,1.0946,1.0454,1.8308,1.7485
qap8,sdpa,529,2145,0,0,0,1,757.0066,964,-19454,Inf,Inf,NaN,1.5811,1.6237,1.027,14.8959,9.4214
qap8,sdpt3,529,2145,0,0,0,1,756.8396,756.8978,756.8978,Inf,Inf,NaN,1.338,0.017099,0.012779,1.551,1.1592
qap8,sedumi,529,2145,0,0,0,1,756.9342,756.9345,756.9345,Inf,Inf,NaN,2.7307,0.016905,0.0061906,3.5579,1.3029
qap9,csdp,748,3403,0,0,0,1,1409.9322,1409.9367,1409.9348,Inf,Inf,NaN,2.0845,2.1306,1.0221,6.6758,3.2026
qap9,sdpa,748,3403,0,0,0,1,1410.2457,1600,-40440,Inf,Inf,NaN,2.8993,2.7615,0.95247,24.233,8.3582
qap9,sdpt3,748,3403,0,0,0,1,1409.9187,1409.9299,1409.9299,Inf,Inf,NaN,1.4609,0.018318,0.012539,4.7291,3.2372
qap9,sedumi,748,3403,0,0,0,1,1409.9137,1409.914,1409.914,Inf,Inf,NaN,3.4758,0.018069,0.0051986,8.0898,2.3275
qpG11,csdp,800,1280800,0,0,0,1,-2448.6591,-2448.6591,-2448.6591,-2448.6591,2.1299e-05,8.6981e-09,73.6408,79.9489,1.0857,2.5803,0.035039
qpG11,sdpa,800,1280800,0,0,0,1,-2448.6589,-2448.664,-2448.876,-2437.8092,11.0668,0.0045294,599.7304,608.581,1.0148,611.7786,1.0201
qpG11,sdpt3,800,1280800,0,0,0,1,-2448.6591,-2448.6591,-2448.6591,-2448.6591,4.1692e-05,1.7026e-08,6.6074,2.8096,0.42522,2.9644,0.44865
qpG11,sedumi,800,1280800,0,0,0,1,-2448.6591,-2448.6591,-2448.6592,-2448.6591,9.3198e-05,3.8061e-08,404.6812,409.8703,1.0128,417.721,1.0322
qpG51,csdp,1000,2001000,0,0,0,1,-11817.9999,-11818,-11818,-11817.9999,0.00014066,1.1902e-08,160.6556,171.8647,1.0698,5.7532,0.035811
qpG51,sdpa,1000,2001000,0,0,0,1,-11818,-11818,-Inf,-11815.6364,Inf,NaN,1019.0501,11270.346,11.0597,5149.7629,5.0535
qpG51,sdpt3,1000,2001000,0,0,0,1,-11818,-11818,-11818,-11818,4.9977e-05,4.2289e-09,23.8526,5.4185,0.22716,6.366,0.26689
qpG51,sedumi,1000,2001000,0,0,0,1,-11818,-11818,-11818,-11817.9999,0.00013778,1.1659e-08,1723.5328,1739.8305,1.0095,1760.369,1.0214
ss30,csdp,132,43497,0,1,0,1,-20.2395,-20.2395,-Inf,Inf,Inf,NaN,16.8137,17.898,1.0645,4.8748,0.28993
ss30,sdpa,132,43497,0,1,0,1,-20.242,-20.2392,-20.2401,Inf,Inf,NaN,23.7025,47.4294,2.001,203.415,8.582
ss30,sdpt3,132,43497,0,1,0,1,-20.2395,-20.2395,-Inf,Inf,Inf,NaN,6.5907,6.5033,0.98674,4.7394,0.7191
ss30,sedumi,132,43497,0,1,0,1,-20.2395,-20.2395,-20.2395,Inf,Inf,NaN,12.0788,12.3659,1.0238,2.6003,0.21528
theta1,csdp,104,1275,0,0,0,1,-23,-23,-23,-23,2.6402e-08,1.1479e-09,0.22047,0.28377,1.2871,0.026036,0.11809
theta1,sdpa,104,1275,0,0,0,1,-23.0005,-23,-Inf,-22.9511,Inf,NaN,0.60319,7.1367,11.8316,0.68433,1.1345
theta1,sdpt3,104,1275,0,0,0,1,-23,-23,-23,-23,3.8558e-07,1.6764e-08,1.4801,0.015987,0.010801,0.027266,0.018422
theta1,sedumi,104,1275,0,0,0,1,-23,-23,-23,-23,7.4367e-06,3.2333e-07,0.45763,0.016114,0.035212,0.53096,1.1602
theta2,csdp,498,5050,0,0,0,1,-32.8792,-32.8792,-32.8792,-32.8792,1.6674e-07,5.0712e-09,1.2154,1.2685,1.0437,0.030512,0.025105
theta2,sdpa,498,5050,0,0,0,1,-32.8792,-32.88,-32.89,-32.789,0.10102,0.0030762,2.6769,2.7473,1.0263,2.7753,1.0368
theta2,sdpt3,498,5050,0,0,0,1,-32.8792,-32.8792,-32.8792,-32.8792,9.4387e-08,2.8707e-09,0.81504,0.020065,0.024619,0.031786,0.038999
theta2,sedumi,498,5050,0,0,0,1,-32.8792,-32.8792,-32.8792,-32.8792,1.6365e-05,4.9773e-07,1.2221,0.01999,0.016357,1.2797,1.0471
theta3,csdp,1106,11325,0,0,0,1,-42.167,-42.167,-42.167,-42.167,2.5604e-07,6.0721e-09,5.2333,5.2422,1.0017,0.039429,0.0075342
theta3,sdpa,1106,11325,0,0,0,1,-42.167,-42.17,-Inf,-41.9837,Inf,NaN,8.1622,90.8553,11.1313,16.5911,2.0327
theta3,sdpt3,1106,11325,0,0,0,1,-42.167,-42.167,-42.167,-42.167,2.2235e-07,5.2731e-09,1.5648,0.027695,0.017699,0.04108,0.026252
theta3,sedumi,1106,11325,0,0,0,1,-42.167,-42.167,-42.167,-42.1669,6.9998e-05,1.66e-06,5.0444,0.027654,0.0054821,5.134,1.0178
theta4,csdp,1949,20100,0,0,0,1,-50.3212,-50.3212,-50.3212,-50.3212,1.2105e-06,2.4056e-08,19.7051,19.81,1.0053,0.052903,0.0026847
theta4,sdpa,1949,20100,0,0,0,1,-50.3212,-50.32,-50.49,-50.2376,0.25235,0.0050106,25.9696,26.1402,1.0066,26.236,1.0103
theta4,sdpt3,1949,20100,0,0,0,1,-50.3212,-50.3212,-50.3212,-50.3212,6.3049e-07,1.2529e-08,3.7448,0.040155,0.010723,0.133,0.035517
theta4,sedumi,1949,20100,0,0,0,1,-50.3212,-50.3212,-50.3212,-50.3211,0.00010143,2.0157e-06,22.8298,0.039727,0.0017401,23.0839,1.0111
theta5,csdp,3028,31375,0,0,0,1,-57.2323,-57.2323,-57.2323,-57.2323,1.6108e-07,2.8145e-09,69.5659,69.7337,1.0024,0.073241,0.0010528
theta5,sdpa,3028,31375,0,0,0,1,-57.2323,-57.23,-57.59,-57.1056,0.48443,0.0084473,84.3545,84.9485,1.007,84.7294,1.0044
theta5,sdpt3,3028,31375,0,0,0,1,-57.2323,-57.2323,-57.2323,-57.2323,4.0307e-07,7.0427e-09,7.3051,0.056629,0.007752,0.075509,0.010337
theta5,sedumi,3028,31375,0,0,0,1,-57.2323,-57.2323,-57.2323,-57.2321,0.00015977,2.7917e-06,100.5282,0.057024,0.00056724,100.788,1.0026
theta6,csdp,4375,45150,0,0,0,1,-63.4771,-63.4771,-63.4771,-63.4771,3.1257e-07,4.9241e-09,199.0565,199.2306,1.0009,0.098536,0.00049502
theta6,sdpa,4375,45150,0,0,0,1,-63.477,-63.48,-63.51,-63.3146,0.19539,0.0030813,238.8093,238.8625,1.0002,238.9065,1.0004
theta6,sdpt3,4375,45150,0,0,0,1,-63.4771,-63.4771,-63.4771,-63.4771,2.0067e-07,3.1612e-09,14.9156,0.080379,0.0053889,0.10239,0.0068643
theta6,sedumi,4375,45150,0,0,0,1,-63.4771,-63.4771,-63.4771,-63.477,0.00012853,2.0249e-06,312.6243,0.081431,0.00026048,622.9144,1.9925
thetaG11,csdp,2401,321201,0,0,0,1,-400,-400,-400,-400,1.2444e-06,3.111e-09,97.7225,100.0161,1.0235,0.98349,0.010064
thetaG11,sdpa,2401,321201,0,0,0,1,-400,-400,-Inf,-399.796,Inf,NaN,206.2486,2276.2155,11.0363,828.492,4.017
thetaG11,sdpt3,2401,321201,0,0,0,1,-400,-400,-400,-400,5.4502e-06,1.3626e-08,15.3012,0.86961,0.056833,0.93638,0.061197
thetaG11,sedumi,2401,321201,0,0,0,1,-400,-400,-400,-400,1.2476e-06,3.119e-09,168.6776,170.3227,1.0098,171.0516,1.0141
thetaG51,csdp,6910,501501,0,0,0,1,-349,-349,-349.0006,Inf,Inf,NaN,1960.8854,1962.2667,1.0007,3631.9828,1.8522
thetaG51,sdpa,6910,501501,0,0,0,1,-348.9999,-348.9988,-361.2317,-344.0061,17.2257,0.048851,1731.9688,1742.4914,1.0061,1958.626,1.1309
thetaG51,sdpt3,6910,501501,0,0,0,1,-349,-349,-Inf,Inf,Inf,NaN,359.8553,400.9001,1.1141,360.8858,1.0029
thetaG51,sedumi,6910,501501,0,0,0,1,-349,-349,-349,-348.9984,0.0016247,4.6552e-06,1934.4085,1940.0113,1.0029,2310.6685,1.1945
truss1,csdp,6,18,0,1,0,1,9,9,9,9,5.4973e-08,6.1081e-09,0.025834,0.14407,5.5767,0.061144,2.3668
truss1,sdpa,6,18,0,1,0,1,9,9,8.997,9.0011,0.004103,0.00045594,0.044403,1.3707,30.8695,0.64464,14.518
truss1,sdpt3,6,18,0,1,0,1,9,9,9,9,2.2838e-07,2.5376e-08,0.82992,0.053564,0.064541,0.064204,0.077362
truss1,sedumi,6,18,0,1,0,1,9,9,9,9,6.6826e-08,7.4251e-09,0.55407,0.053569,0.096683,0.68005,1.2274
truss2,csdp,58,331,0,1,0,1,123.3804,123.3804,123.3804,123.3804,1.3981e-07,1.1332e-09,0.60623,0.32081,0.52919,0.3283,0.54155
truss2,sdpa,58,331,0,1,0,1,123.4,123.3722,123.3076,126.6,3.2924,0.026349,0.80319,2.7576,3.4333,4.0062,4.9879
truss2,sdpt3,58,331,0,1,0,1,123.3804,123.3804,123.3804,123.3804,9.5868e-07,7.7701e-09,20.4106,0.33186,0.016259,23.5547,1.154
truss2,sedumi,58,331,0,1,0,1,123.3804,123.3804,123.3804,123.3804,1.2916e-06,1.0468e-08,4.924,5.2573,1.0677,5.089,1.0335
truss3,csdp,27,91,0,1,0,1,9.11,9.11,9.11,9.11,1.2247e-08,1.3443e-09,0.077697,0.22305,2.8708,0.070423,0.90638
truss3,sdpa,27,91,0,1,0,1,9.11,9.11,9.1018,Inf,Inf,NaN,0.1273,1.0083,7.9204,2.3453,18.4236
truss3,sdpt3,27,91,0,1,0,1,9.11,9.11,9.11,9.11,1.3725e-07,1.5066e-08,1.245,0.063639,0.051116,0.074932,0.060187
