name,m,n,sname,EL2,EL-EL2,EU,mu_EU_EL2,mu_EU_EL,ts,tL2/ts,tL/ts,tU/ts
NH3,2964,664922,sdpt3,-56.0144,-7.0478e-07,-56.0144,1.3504e-08,2.6086e-08,2732.1482,0.00014049,1.9979,0.00014568
NH,948,116692,mosek,-54.8162,-2.0787e-05,Inf,NaN,NaN,21.9844,0.0059707,1.9974,1.9894
NH,948,116692,sdpt3,-54.8162,6.0659e-09,-54.8162,1.9153e-08,1.9042e-08,115.7441,0.0011614,0.0014291,0.0011779
NO-,7230,2569260,mosek,-128.6658,-7.8397e-05,Inf,NaN,NaN,6607.0415,0.00020475,1.9464,1.329
NO-,7230,2569260,sdpt3,-128.6657,6.4531e-07,-128.6657,2.1569e-08,1.6553e-08,37613.6498,3.511e-05,1.0016,4.1207e-05
NaH,7230,2569260,mosek,-161.7381,-0.00010896,Inf,NaN,NaN,6002.3766,0.00022147,2.0217,1.6447
NaH,7230,2569260,sdpt3,-161.7379,4.1748e-08,-161.7379,2.4477e-08,2.4219e-08,32861.7141,4.3803e-05,2.0094,4.7776e-05
O2+,7230,2569260,mosek,-148.7961,0.00055374,Inf,NaN,NaN,7331.468,0.00018274,0.96686,1.0122
O2+,7230,2569260,sdpt3,-148.7955,-Inf,-148.7955,2.7552e-07,NaN,33049.0129,3.8638e-05,0.99643,4.7062e-05
O2,7230,2569260,mosek,-149.164,-8.2191e-05,Inf,NaN,NaN,6799.6257,0.00019237,1.0016,2.0504
O2,7230,2569260,sdpt3,-149.1639,4.9976e-07,-149.1639,2.0709e-08,1.7359e-08,37736.1632,3.7613e-05,1.9993,4.2532e-05
OH+,948,116692,mosek,-74.7719,-7.7106e-06,Inf,NaN,NaN,21.1984,0.00615,2.0318,1.7048
OH+,948,116692,sdpt3,-74.7719,8.6244e-10,-74.7719,1.7273e-08,1.7261e-08,109.2349,0.0013129,0.0014687,0.0012311
OH-,948,116692,mosek,-74.8037,-1.6322e-05,Inf,NaN,NaN,18.035,0.0072316,2.0565,2.3955
OH-,948,116692,sdpt3,-74.8037,1.876e-08,-74.8037,1.6517e-08,1.6266e-08,93.1804,0.0014089,0.0016525,1.0009
OH,948,116692,mosek,-75.1014,-3.9118e-05,Inf,NaN,NaN,21.4252,0.0061951,0.97302,1.8766
OH,948,116692,sdpt3,-75.1014,4.3121e-09,-75.1014,1.543e-08,1.5373e-08,114.2495,0.0011233,0.001403,0.0011913
SiH-,7230,2569260,mosek,-288.1319,-8.7213e-05,Inf,NaN,NaN,5967.293,0.00022142,0.99654,1.3038
SiH-,7230,2569260,sdpt3,-288.1319,3.8178e-08,-288.1319,1.3999e-08,1.3866e-08,35173.46,3.679e-05,6.1072e-05,4.2036e-05
SiH,7230,2569260,mosek,-288.3777,-0.00013111,Inf,NaN,NaN,6540.8527,0.00019928,1.9973,3.1863
SiH,7230,2569260,sdpt3,-288.3776,2.9355e-05,-288.3776,2.4351e-07,1.4171e-07,33221.4482,4.1908e-05,0.97404,4.6396e-05
